text,sentiment
Love th,positive
Watching Everything Is Illuminated  and dreaaaming<3,positive
?  enjoy it though.,positive
Yippiee!,positive
e amazing,positive
COOL,positive
Wow that is a scary statistic,negative
bad,negative
stomach ache... Totally sucks,negative
i dont think,negative
doesn`t exist anymore.,negative
happy,positive
late,negative
s relaxing,positive
jealous,negative
backache,negative
this is a travesty,negative
funeral at 2.  today is going to be bad.,negative
i wishhh!,positive
", hope",positive
Yes we Can  make it,positive
missing,negative
Woke up early! Still sick,negative
sorry,negative
hate,negative
miss,negative
super duber high!,positive
I am sick..,negative
dramatic,negative
good,positive
lol seriously.  fail. ::sigh::,negative
beauty,positive
amusing.,positive
fabulous,positive
No problem,positive
love,positive
believe,positive
ironclad determination?,positive
It`s pissing me off and not letting me follow ericka,negative
Thanks,positive
trashed,negative
love,positive
Happy,positive
great,positive
bored,negative
now I wish I hadn`t,negative
good,positive
it can only get better.,positive
why do you hate me!?,negative
cute.,positive
rubbish,negative
i cried too!,negative
e great at it,positive
it`s tragic,negative
I hate PC,negative
I like,positive
It`s sad.,negative
Congratulations,positive
Have a great night!,positive
oh godddd,negative
NOT happy!,negative
misses,negative
I really fancy a frappuccino from Starbucks right now,positive
thunder is scaring me,negative
hate,negative
miss,negative
hurts,negative
Happy,positive
Badly.,negative
fat and sad,negative
Sadly,negative
agree!,positive
i got rained out at the beach.,negative
handy,positive
exciting,positive
gutted,negative
super,positive
fun!,positive
THANK YOU,positive
hopefully,positive
HOMELESS afterJune 1st....,negative
chillin,positive
I`m getting good,positive
I loved,positive
thanks,positive
miss,negative
d sweep haha :-p,positive
happy to help,positive
dying.,negative
passed away in,negative
hurts,negative
Awww!!,positive
Hope,positive
love,positive
relaxing,positive
Congratulations,positive
"a perfect run,",positive
is sick and it doesn`t seem like i`m getting better,negative
My head hurts beyond much.,negative
Thank you sister!!,positive
Lucky.,positive
excitement!!,positive
HaPPy Mothers Day!!!,positive
Kristen i miss you,negative
miss,negative
like,positive
Happy to see Kurt spin.,positive
Thank,positive
Adam Lambert rocks!,positive
i`m gonna miss eddy,negative
made my life!,positive
in a very stress mood,negative
We`ll miss you,negative
comforting,positive
kind of down,negative
Nice yo!,positive
Thanks,positive
missing,negative
ouch,negative
Hoping,positive
hurts,negative
"Awww, thank you!",positive
"`s going to Disney World, lucky ****.",positive
Ugh cramps,negative
Thanks.,positive
hand hurts,negative
tired,negative
bloody,negative
I want a Monte Cristo sandwich sooo... BAd!!!,positive
no clue wtf im doing,negative
sure I would like,positive
easy.,positive
everyone has left me,negative
YAY,positive
having no service sucks,negative
proud of you,positive
lovely wedding,positive
Ugh.,negative
All is good,positive
Hehe,positive
ks super sweet!,positive
I can understand!,positive
sucks,negative
great,positive
haha  Thanks!,positive
omg   i found it  thn,positive
Rest in peace ma,negative
thanks,positive
uncomfortable..,negative
We all need that simple reminder-thx!,positive
Good,positive
good,positive
DAMMIT!,negative
Great,positive
i love,positive
Sickkkk,negative
dont like,negative
Goodnight,positive
scariest,negative
Thanks darling girl,positive
miss,negative
delayed,negative
u guys are soo unfair smh...,negative
Great,positive
"Yes it`s herrrrr.  Dude, I`m gonna **** cry.",negative
sad,negative
really shouldnt have.,negative
wish,positive
weekend is going great,positive
Sad face moment of the day,negative
Great album..,positive
Wish,positive
Man I`m sick,negative
Fail.,negative
"aw, that`s cute",positive
no food,negative
Missing you all deeply,negative
Yay,positive
I don`t like,negative
is cute,positive
boo fo,negative
im so bummed,negative
It`s well good!!,positive
Happy Mother`s Day,positive
He made me sad,negative
hurts,negative
happy mothers day people,positive
love,positive
i wish my drems could come true,positive
LOVE,positive
scare,negative
loving Mondays,positive
greatest,positive
ah . thanks .. appreciate it,positive
peace & quiet.  Enjoy it while it lasts!,positive
missing,negative
not helping!,negative
blessed,positive
awesome!,positive
evil laugh*,negative
chillaxing re,positive
rest well!,positive
"tummy is hurting,",negative
i got stung. by a bee.,negative
love me,positive
gaah,negative
DENIED at work,negative
Does not feel good,negative
missing,negative
die,negative
Happy,positive
R.I.P Fristy just thinking abt her,negative
good,positive
I`M FEELING GREAT!,positive
is chilling at home,positive
goodnight,positive
awesome,positive
i miss yoooouuuu!!!!,negative
not fair...,negative
I shall annoyingly tweet at you tomorrow.,negative
sick,negative
The Eagles make saturday nights so much better.,positive
Thank,positive
Happy mother`s day ev,positive
i miss Oceans,negative
love,positive
"wow,",positive
miss,negative
Happy birthday to me,positive
ugh..,negative
fail,negative
driving me mental,negative
so lame,negative
"finally, holiday.",positive
*is bad ****...He still is,negative
ruined:d,negative
blast,positive
i would,positive
it made me sad,negative
Nice,positive
****,negative
thanks for the link love yesterday by the way,positive
I`m so sleep deprived but it`s to hot to sleep.,negative
wants cookie,positive
Happy,positive
Five more long days. Ahh!,positive
I must agree I do like blackberries!,positive
it`s friday! trying to find something to do,positive
stupid,negative
now the crazy is all gone.,negative
great.,positive
jealous,negative
Oh no! So sorry about your pets..,negative
people love the human society,positive
I am so tired!,negative
Thanks,positive
I miss you,negative
bored..,negative
i love mandy moore so much  and also angela,positive
soggy.,negative
confusions,negative
good,positive
cute!!,positive
Sorry for the long listening.,negative
happiest,positive
great,positive
who`s the jerk!?,negative
love,positive
finally clean.,positive
"bored , cleanin the house",negative
Bored,negative
Regrettin,negative
I hurt my foot in gym class.,negative
"Oh good, this thing is viral now",positive
fuckn awesome atm!!,positive
thank,positive
thankyou,positive
s better,positive
bored,negative
good,positive
You are too sweet!,positive
at home  im so lonely here...,negative
Rock,positive
twisted,negative
i h8 waking up,negative
stupid,negative
Love,positive
fantastic day,positive
sad,negative
tired,negative
Happy Mother`s Day,positive
i hate hi,negative
misses my cousins so badly!!,negative
that can`t be nice,negative
you didn`t even say bye,negative
missing,negative
Nice and clean now,positive
It wasn`t a good day ..,negative
hurts,negative
wishing,positive
crying,negative
Ahhh yay,positive
hacked,negative
get well soon!,positive
e miss you,negative
Why are money problems so bad these days,negative
aw taxi man is going fast just for meee,positive
shattered,negative
disappointed,negative
my tummy hurts,negative
Happy,positive
HAPPY,positive
expensive,negative
is hating the weather. UGH.,negative
a bit worried...,negative
soooo fed up,negative
had an amazing night with the girls,positive
Happy Mother`s Day!,positive
Screw you guys,negative
Bored.,negative
good study day,positive
sad,negative
Hoping,positive
so lazy an,negative
Good morning mate!,positive
Goin to bed... Finally. So sleepy! *Happy mothers day!*,positive
The Service was good,positive
hate,negative
very sad,negative
slow internet,negative
well.,positive
wish,positive
Extremely excited!,positive
Happy Mother`s Day,positive
hope you win!,positive
Wow!,positive
Well thank you.,positive
happy,positive
sadder,negative
finally over my sickness.,positive
just done planting the garden...hope sun will shine soon!,positive
noooootttttttt fun,negative
Oh no!,negative
l have a blast.,positive
night Diana and if you travel soon take care,positive
hugh isn`t on it  lied last week,negative
feel sad,negative
hope u feel better sweetie,positive
nice hair an,positive
good!!,positive
Gorgeous,positive
Thanks,positive
I miss,negative
bored..,negative
Sunburned,negative
not in the mood,negative
Thanks!,positive
lucky.,positive
Happy,positive
fun!,positive
ye it is not fare on me,negative
tired,negative
. I Love YOU,positive
I thought it was pretty funny too!,positive
t AIDAN!,negative
sucks,negative
Thanks fo,negative
aircon not working in my office,negative
Heading downtown! Drinks and dancing!!,positive
broken wrist,negative
i love you.,positive
boo,negative
s are fun again!,positive
interesting,positive
happy birthday to me!!!!,positive
i wish i was outside,positive
happy,positive
troubles,negative
im kind of sad..,negative
fun,positive
congratulations,positive
HELP ME,positive
jealous,negative
wrong,negative
Why do you not respond me?,negative
cute.,positive
perfect,positive
hate it so much.,negative
Got bored.,negative
Very funny Thanks,positive
It was funny.,positive
Happy Birthday tooo meeee...,positive
allergic,negative
favourite,positive
I`m sorry,negative
Looks Yummy.,positive
Twitter <3,positive
Not feeling very well.,negative
****....game starts in 30 min!!,negative
Sick,negative
hahahahahahahahahahahahaha  that could be interesting,positive
e looming,negative
Thanks,positive
poor,negative
hope,positive
Good,positive
sucking,negative
caught,negative
best,positive
bless,positive
thanks,positive
Cheese Cake for my chweet mummy ! muaxxx,positive
I miss my cousin so much,negative
s funny,positive
This is sad,negative
loves fr,positive
WATCH OUT WORLD!,negative
sucks,negative
"i am boooooooored,",negative
Hurray,positive
sore,negative
thanks.,positive
Goodnight,positive
worst day ever...,negative
Hard,negative
Great,positive
repair,negative
loooooong day,negative
I am loving this beautiful monday morning!,positive
whenever it rains it`s so hard to get motivated,negative
can`t leave for lunch,negative
fun,positive
"Wal-Mart orientation...it`s work, but seriously...this sucks",negative
y thank you!!,positive
scary noises,negative
im sorry.,negative
love,positive
it`s not even funny!,negative
lonely,negative
. bad day not good,negative
my fab broke,negative
Yummm-,positive
cute,positive
thanks will try to behave,positive
Happy,positive
"to  and , thanks for following me.",positive
love,positive
miss,negative
nice,positive
please?,positive
I am not feeling well,negative
"Every time it rains, I see at least 1 ambulance",negative
i hate getting put on steroids.,negative
ood morning to all- and welcome new,positive
Silent treatment is a great torture method,negative
suckss,negative
bother,negative
i was too slow,negative
hurts!,negative
excited,positive
miss,negative
"oh noooo, did he not get through?",negative
-winks back-,positive
yeah...she passed last week.  so sad!,negative
thank you for the re-tweet,positive
sorry,negative
Great,positive
good day,positive
my stupid msn wont sign in,negative
favorite,positive
love,positive
Happy,positive
Its kinda nice,positive
hurts,negative
good night,positive
Chilling at home,positive
Happy Mothers Day,positive
Bored..,negative
Having Fever  dont feel to work,negative
Sorry to hear.,negative
sad,negative
Poor little MBA,negative
g`mornin,positive
sore,negative
love,positive
wow you are lucky,positive
So treat your Mom`s like Queen`s,positive
not coming,negative
Im so down!,negative
lovely.,positive
better,positive
i love the Purate ENglish sooo much,positive
not feelin well...,negative
It went well.,positive
nauseous,negative
is super stressed!,negative
Have you managed to breathe since getting the news?,negative
hate 90,negative
"Happy Birthday, David",positive
My head is hurtin,negative
yummy,positive
i hate you josh,negative
wish,positive
Sick,negative
"wow,",positive
loved,positive
"I am sick, very sick, sore throat and flu",negative
thanx,positive
I`m the heir to the over draft,negative
Liked,positive
glad,positive
ohyeahhh  hate the heat,negative
sunburnt,negative
'Perfect,positive
Yeee!,positive
"hurt my left knee somehow last night, hurts to walk",negative
Very cute,positive
fun!,positive
thanks!,positive
Great day.,positive
Happy Mother`s Day!,positive
missed,negative
SO MUCH WORK !,negative
oh no! :|,negative
happy mothers day to all motherssss!,positive
forget,negative
Harley passed away in December 2008,negative
Sorry,negative
Ouch...waited to long,negative
s good,positive
thanks!,positive
Happy Mothers day to all the Mom`s on there!!,positive
Good,positive
bad newss,negative
Worried,negative
Happy,positive
hurts!!,negative
fine,positive
These days have been looking better better betterrrrrrrr.,positive
happy mother`s day!,positive
hurts,negative
expensive.,negative
I am trying to figure out,positive
hurts,negative
..sometimes it is hard,negative
Good,positive
happy,positive
I miss you,negative
****.,negative
Is feeling a bit lonely,negative
a happy early mother`s day,positive
frown,negative
blunt,negative
wish,positive
!happy,positive
hate,negative
break out.,negative
i am not happy at all,negative
I miss my water,negative
miss,negative
the slowest website,negative
s all about attitude & chutzpah,positive
Congratulations,positive
s fun,positive
agitated,negative
Glad you like!,positive
awesome,positive
n awesome,positive
my dog ran awayyy,negative
painfully,negative
unavailable,negative
Congrats,positive
", i thank u",positive
QT,positive
really wanted,positive
Happy,positive
very cute and pretty,positive
sick,negative
Happy,positive
wonderful,positive
will ever stop hurting,negative
SIGH,negative
supposed to sound mean.,negative
nice,positive
.enjoy,positive
is fam.,positive
That`s sucky,negative
happy,positive
hard!,negative
heey  your awsome. god bless.,positive
miss,negative
Cool,positive
A little bit of good news.,positive
alright cool.,positive
sad.,negative
bored.,negative
I wish you were here with me right now,negative
hates,negative
fantastic,positive
cool,positive
better,positive
nice,positive
"Oh, so no male strippers then?  LMAO",negative
sick..,negative
gooooooooood,positive
drunk right now...,negative
wrong career,negative
Happy,positive
hate,negative
I think they are disgusting,negative
its ok. im juz curious,positive
good oo,positive
I miss you sweetie!,negative
sucks!,negative
fab.,positive
i can`t get back to sleep,negative
loves,positive
true!,positive
ugly,negative
HAPPY MOTHERS DAY,positive
good,positive
unfortunately.,negative
I don`t feel good,negative
Is really sad that shes missing critical mass,negative
aw,negative
Aw you are and you`re welcome,positive
good,positive
burnt,negative
thats great babe!! congrats!!,positive
pretty!,positive
Thanks,positive
HELP,negative
loves,positive
working,positive
great,positive
lovely,positive
good,positive
Good,positive
lonely,negative
Thank god ca,positive
Sucky homework,negative
that sigh doesn`t sound happy.,negative
sorry.,negative
n sucks,negative
I want an iPhone <33333,positive
wow,positive
HEADACHE,negative
Not a happy bunny,negative
Ur welcome,positive
i have a good one,positive
tolerate nothing,negative
", just drank too much.",negative
"Awwwww, i`m sorry",negative
AMAZING!,positive
That`s no good. I`m sorry,negative
Aha the mom super power - guilt,negative
HUGE headache,negative
is sooo stressed about everything I have to do,negative
", i know  bad me",negative
Missed the play,negative
effort,positive
Great work!!!,positive
Frustrated,negative
Enjoy your night,positive
Happy Mother`s Day to all mothers!,positive
you`re right.,positive
slow,negative
HAPPY,positive
Have a nice day,positive
thnx,positive
nauseous,negative
wow.,positive
lovely,positive
He still doesn`t love me..,negative
Happy,positive
puke,negative
crappy,negative
Just broke my favorite necklace,negative
Loving Lego Indiana Jones. A game-researching aracheologist`s dream,positive
Oh wow  Thanks for the info.,positive
boring,negative
fancy,positive
"headache,",negative
"Warning tweeting while ridding a Bike is dangero, waaaaaaa!!! *crash*",negative
fun,positive
miss,negative
i love that song,positive
Awww I HATE that one!!,negative
haha.,positive
****,negative
live long and prosper  #fb,positive
ugh... my back is killing me.,negative
fault.,negative
enjoying,positive
Aww nice,positive
unfortunately!,negative
sorry about your sadness,positive
i hope work goes good!,positive
Stuck,negative
Great,positive
thanks!,positive
Enjoy,positive
I have a hole in my tooth,negative
yup it gets better again,positive
sorry,negative
hungover,negative
suffering,negative
Thanks.,positive
poor pooch...,negative
I love my hair blowin in the wind,positive
**** right!,positive
i dnt feel so good,positive
so nice,positive
COOLEST,positive
"aww, anyone see hollie steel on BGT tonight? wharra shame",negative
Oops!,negative
tired,negative
Goodmorning,positive
interesting me,positive
depressing,negative
headache,negative
"Oops,",negative
Justin is too funny,positive
sore,negative
****. I always forget you are on here,negative
can`t fall asleep,negative
happy,positive
miss,negative
Suffering,negative
liked,positive
Happy Mothers Day!!,positive
that`s depressing,negative
photo session + mother-daughters bonding session = happy me,positive
kaotic ones,negative
tired,negative
condolences.,positive
excited,positive
bad,negative
love,positive
bad times,negative
sad face*,negative
2 more days till happiness.,positive
enjoying my new car,positive
happy almost mother`s day,positive
irked,negative
poor little girl,negative
im glad,positive
sexy,positive
happy mother`s day to all your mom`s,positive
I know  I think I`m like dieing!,negative
"beautiful,a",positive
****,negative
funny,positive
lammmeeee,negative
all my koreans buisnesses failing.,negative
I`m glad,positive
Miss him so baadly.,negative
OK. Happy to hear that you are feeling fine,positive
ugh... hangover. sign that i`m getting old,negative
Happy,positive
sick of having constant bad dreams  grr,negative
Stupid,negative
pisses,negative
that is so lovely,positive
Funeral,negative
good.,positive
WHAT! That`s a sin!,negative
lovely,positive
It`s gonna suck being the only sober one tonight,negative
exciteeeddd.,positive
hope am,positive
thanks,positive
in_love aww me too!!!  we miss you.,positive
i love this show.,positive
awesome!,positive
anytime  that`s what Im here for *giggles*,positive
Oh no,negative
nooooooo,negative
you`re so cute,positive
long Friday,negative
"loves summer! and don`t forget people, tomorrow is mother`s day!",positive
thank you for reading,positive
Welcome to my network buddies,positive
gutted,negative
Happy,positive
Stress-free is the way to be,positive
you are disappointing me..,negative
best,positive
"I know, lame.",negative
I`m so tired,negative
you`re always welcome!!,positive
nice,positive
So no problems here.,positive
AMAZING,positive
I **** love Alexander William Gaskarth,positive
Happy,positive
cried..,negative
lovely car,positive
effed,negative
miss,negative
I missed  giving away a TTC code,negative
That just doesn`t sound appetizing.,negative
i love you,positive
I don`t wanna work!,negative
sorry to hear,negative
boring,negative
Strange day  I forget all what i can,negative
still at home goodness,positive
Can`t find it!,negative
sad,negative
got the WORST butterflies everrrrr!,negative
Happy Mother`s Day,positive
Respect,positive
greaattt,positive
WORST,negative
sunburnt,negative
my kinda day,positive
"Sounds lovely,",positive
Last day for seniors bye,negative
buggin,negative
sad..,negative
loves,positive
is still pretty depressed ab,negative
SCOREless,negative
"I`m sorry, Shannon.",negative
cute!,positive
Thanks,positive
sweet dreams,positive
This is not a happy tw,negative
excited,positive
What the heck?,negative
bonfires are my fave!,positive
AWW thanks,positive
So nice,positive
miss,negative
a beautiful day!,positive
sad,negative
Love it! Love him!,positive
hard,negative
Not good for my allergies!!,negative
'Amazing'.,positive
very much much much mash!!!! more please,positive
Happy mothers day everybody,positive
i miss you SO much-,negative
nick`s voice still makes me wanna kill things,negative
missed,negative
nice  very nice!!,positive
i know  its nice,positive
Friday tubes at work are slow..,negative
My back hurts,negative
Ugh I`m tired,negative
I just KNEW you`d get that!,positive
Happy,positive
Goood,positive
a terrible day,negative
tired..,negative
sad   Miss my friends,negative
missed,negative
goodnight!!,positive
I`m banned by Court Order,negative
Gutted,negative
f***** work,negative
gross.,negative
oops,negative
Grr...Fatboy Slim is out of the EDC Lineup.,negative
! Sorry to hear that.,negative
"dude, come on... at least rotate that ****!",negative
My poor poor mouth,negative
happy,positive
s sad,negative
exams are the worst mahn!!,negative
not a very good day at the house,negative
hahahah Thank you  Feel the Love,positive
still adorable,positive
hater,negative
Still sick,negative
Thanks,positive
Stupid,negative
have a good day!,positive
FANTASTIC week in London,positive
I think im becoming obsessed with MGMT- kids  <3,positive
great,positive
exciting.,positive
. *sadness*,negative
Thx,positive
Happy Mothers Day!!!!,positive
Misses her work peeps,negative
i love that game,positive
too tired,negative
dammit i cant watch st,negative
i feel like i`m going crazy.,negative
Sucks,negative
not working here,negative
sorry,negative
Happy Mo,positive
Sorry to hear that Carol.,negative
May,positive
Pshh i dont have it,negative
stuck,negative
hate,negative
sad,negative
hurts!,negative
awesome,positive
Loving the # dreambears,positive
oh no Jess I hope the person is ok,positive
am i doubly awesome,positive
I hurt my index finger!! ahhhh,negative
dead.,negative
you take such good photos.,positive
welcome.,positive
So sick still.,negative
.scary,negative
good,positive
good,positive
piss,negative
thats the highlight,positive
better.,positive
fun,positive
wish,positive
cool #movie,positive
nice,positive
suck,negative
is tired on,negative
it`s all gone,negative
happy,positive
sad,negative
goodbye innocence!!,positive
"so bored, i have a headache.",negative
Good morning! It`s going to be a kick-butt day!,positive
ruined!!,negative
my head huwwts,negative
productive.,positive
I don`t feel good.  .My throat hurts!!!!,negative
feels not good at all,negative
HAPPY JUDDDAY,positive
SOO FUN!!  happy bday chrissy,positive
Wishes,positive
i miss yoooooooou,negative
optimistic,positive
Glad,positive
I don`t feel well at all,negative
Happy,positive
not a happy bu,negative
is so gutted she can`t get tickets for pink!,negative
My baby has his first busted lip.,negative
you are al so amazing,positive
.are you ignoring me *frowns*,negative
braggin,positive
Freaking,negative
gooodmorning,positive
good,positive
.  Sorr,negative
! ur hurting my feelings,negative
THANK YOU,positive
happy,positive
alone.,negative
Sooo readyyy,positive
Hey  sorry about your headahce,negative
cool,positive
being LAME,negative
relief,positive
helping,positive
talkin to sum1 special,positive
well done,positive
thanks,positive
hurt,negative
That`s exactly why I follow you.,positive
awesome,positive
compliment,positive
sorry,negative
aching,negative
Happy,positive
"**** me,",negative
Can`t sleep....restless mind! Agh,negative
Was woken up by my screamin lil nefuew,negative
broke,negative
Happy Star Wars day!!  unbelievable,positive
i dont like it!,negative
very angry,negative
awesome,positive
a crime,negative
HAPPY,positive
Thank you!,positive
overkill.,negative
hope,positive
Good,positive
Happy,positive
"desperate,t",negative
The fever`s gone ... Thanks Jen!,positive
"loved,",positive
it`s looks amazeeeeeee,positive
Yayyy,positive
nobody likes me,negative
better,positive
Hope you feel better soon.,positive
: why is it so cold!?!?!,negative
support,positive
tried,negative
bored to death,negative
"aah, i`m tired.",negative
Its so sad,negative
precious,positive
Sounds good. Will wait for it. Thanks,positive
glad jake got the day off,positive
", sorry",negative
I REALLY wish I was spoiled!,negative
s awesome!,positive
Friends,positive
good,positive
hahaha thanks for clearing up the,positive
Thanks!,positive
"thankfully,",positive
Happy,positive
#fail,negative
"hello, i`m great!",positive
perfect song!,positive
wish,positive
omg.,negative
Glad,positive
boring.,negative
thank,positive
m suffering,negative
crying,negative
leaving,negative
..loved it,positive
not cool.,negative
cowering from pain,negative
SO BORED.,negative
handsome!,positive
haha,positive
Happy,positive
not fun,negative
cute,positive
good,positive
I`ve missed you,negative
happy sunday to you to,positive
so **** nervous!!!,negative
"wow, fancy!",positive
awesome,positive
feelin nice af,positive
bad.,negative
"i love this girl  ,she rocks!",positive
.good luck,positive
WHY DO U LOT MOCK ME!!!,negative
Celebrating mother`s day with apple pie,positive
"I`m so sick, it`s ridiculous.",negative
Sunburn is not as fun as,negative
lies,negative
cool,positive
Creased,negative
youtube isn`t working again. oh great,negative
The time is not my friend today,negative
imposible,negative
aww. I hope you feel better soon.,positive
I`m glad,positive
its a bit cold,negative
Worse,negative
wish,positive
a sad,negative
"Awww, *hugs*",negative
Good morning friends. Happy May Bank Holiday.,positive
"harrump gagging for beer, noone wants to play",negative
hey! thanks for following,negative
love,positive
m secure,positive
sleep well,positive
Good Morning Twitter,positive
don`t want to go to work tonight,negative
true lol no problem,positive
i cant see it,negative
wish,positive
frustrating.,negative
"Happy 'Star Wars' Day,",positive
So much pain.,negative
rain is too strong,negative
no chips.,negative
got sunburned at the volcano,negative
good morning!,positive
headache,negative
love,positive
lol i cant drink!!,positive
i like the workshop,positive
died!,negative
Goodnight,positive
How I wish I wish I did not eat that....burger.,negative
cry,negative
love,positive
Happy,positive
Tummy hurts,negative
HAPPY,positive
e me sad..,negative
love,positive
killen,negative
Tonight was fun,positive
im sad  you didnt text today.,negative
forgot,negative
poor,negative
thanks a lot,positive
my stomach hurts,negative
Lol.,positive
worth,positive
grrrrrrr,negative
awesome,positive
hahahahahaha,positive
Too cute!,positive
sorry bout your cat !,negative
Had fun,positive
Stressed,negative
cryy*,negative
fave,positive
Nothing beats spending an evening with my mom,positive
I`m here if ur here for me!,positive
a best,positive
feeling sick. headache. bored. tireddd,negative
"thanks,",positive
it was nice to meet you tonight & thanks!!,positive
Mouth hurts,negative
amusing.,positive
Today feels like friday. Too bad its not,negative
Too broke fo,negative
failed.,negative
if she sees that she will cry! lol,negative
thanx,positive
love,positive
: psh...didn`t even pay for me though,negative
good,positive
initial rant.,negative
my heart sings,positive
Good Morning,positive
rubbish!,negative
suck,negative
deceiving,negative
headache.,negative
no fun!,negative
man that **** hurts!,negative
sick,negative
that sounds cool!,positive
That sucks to hear. I hate days like that,negative
AMAZING,positive
disturb,negative
feels ****! an,negative
hates me,negative
i thought you liked the name,negative
Ill in bed my stomach is killing me,negative
Loves,positive
I`m sorry about your car. I feel for you..,negative
excellent,positive
I hate,negative
sorry,negative
you are so right!,positive
hungry,negative
I hope for a speedy recovery for you!,positive
", is pray for you....",positive
i`m so hungry,negative
love for vintage books..,positive
appreciated!,positive
stuck in,negative
"PLEASE PLEASE, ANYONE?",positive
im missing tennessee ALOT today,negative
night honey..see ya tomorrow,positive
_ that is the truth.,positive
happy,positive
a lazy day,negative
ts 35 now.   ilycecily <3,positive
Love that song! Happy Monday,positive
OMG i want to go too!  hahaha,positive
too bad the weather sucks..,negative
RIP Robin,negative
pretty,positive
fml my,negative
welcome.,positive
Wish,positive
good good!!,positive
Wishing,positive
Poltergeist!,negative
wished to go,positive
blast,positive
hope,positive
Happy,positive
Happy!,positive
"Thankyou,",positive
hoping,positive
funny,positive
t was awesome,positive
My next tweet must be something really special.,positive
"LOL, point at yourself and laugh!",positive
poor,negative
Thanks bro.,positive
good,positive
Yum,positive
miss,negative
GOOD,positive
congrats!,positive
i love playing games in the dark.,positive
totally agree,positive
yum!,positive
amazing,positive
Why do I always have a headache?,negative
wat the!,negative
patient,positive
good.,positive
boo,negative
a sad,negative
yay,positive
Y CANT WE ALL JUST GET ALONG,negative
"omfg, my head",negative
favorite,positive
loves,positive
s cryin,negative
_Kill_Boy I know the feeling,negative
Was pleased with Star Trek.,positive
a frost warning,negative
great,positive
happy,positive
fun tweets,positive
miss,negative
Now the mosquito truck is waking me up,negative
nicest,positive
**** hard right now...this is annoying,negative
poor,negative
dirty,negative
giddy,negative
Have a great one ;),positive
really not lookin forward to monday  bak to college,negative
nicley,positive
Hardly working,positive
really adore,positive
Still sick at home,negative
excited.,positive
s no fun,negative
you are such a great person.,positive
sorry.,negative
what`s wrong,negative
WHAT?! i was wanting to see that show!!,negative
Hahahahahahahahahah!,positive
home  ****,negative
really sucks,negative
my car is possessed and won`t stop honking at me,negative
"good,",positive
the new song with cobra starship is amazing!!,positive
nice,positive
it`s depressing,negative
Happy Mother`s Day to all your wonderful moms!,positive
I don`t think I`m going camping,negative
a good,positive
Not any more.,negative
s horrible,negative
poor,negative
Thank,positive
"Thanks,",positive
hate,negative
precise,positive
YUM im full now,positive
"good,",positive
So sad you didn`t day Hello to me,negative
m tired,negative
miss my,negative
beautiful,positive
i`m trying to figure that out right now,positive
very impressed,positive
I am tired.,negative
I Love All Time Low,positive
miss my,negative
right!,positive
out with  &  i am soooo hungry,negative
love,positive
what a cute dog,positive
nice pic,positive
saddest,negative
Thank,positive
i hate parents,negative
wish,positive
cry,negative
bad,negative
tummy ache,negative
pretty much amazing.,positive
"Wow, you`re car`s awesome!",positive
just relax,positive
Sick to the bone,negative
it wouldn`t load!,negative
i hope she comes back,positive
ignore,negative
cool!,positive
Feeling pretty tired and lonely,negative
Thanks,positive
I miss someone,negative
likes cheerios and scones in the morning,positive
wonderful,positive
hell no!,negative
good bank hoilday,positive
! glad,positive
sowwwy,negative
Feeling very grateful fo,positive
he   love it.,positive
I appreciate,positive
E FAKING,negative
#yourock,positive
"cold,so cold ****!",negative
What a bad day,negative
bored...disgusting weather..bored..sooo bored for my last weekend here,negative
Yay,positive
IÃ¯Â¿Â½m good.,positive
HAPPY MOTHER`S DAYYYY!!!,positive
nice,positive
loveliness,positive
Ugh! I can`t ac,negative
Aww that sucks,negative
Excited,positive
a bit behind,negative
perfect night,positive
happy mo,positive
you`re welcome sweety!  muah! xoxox luv ya!,positive
wow,positive
bad,negative
quite sad,negative
"Happy Monday, Everyone",positive
I **** love the **** internet.,positive
ughh feel rubbish,negative
Thx,positive
HappyMothersDay,positive
they`re bees that will be trapped into my honeypot,negative
yo yo yo! i like ice cream,positive
headache,negative
"a really good 1 dude,",positive
dont wanna work tonight,negative
not good,negative
really want to be,positive
THANK YOU LOVE!,positive
stinks,negative
thanks for havin us overrr!,positive
boo,negative
hate,negative
my phone died,negative
bitbetter,positive
i lost my phone.,negative
good,positive
I aim to please.,positive
pretty lame,negative
"yay, jo",positive
hate,negative
I got the ticket dismissed,positive
Nobody likes to feel low priority.,negative
thank God we,positive
That **** is hard.,negative
Thunder & lightning scarededededed me!,negative
awful,negative
evil,negative
like,positive
fun,positive
Massive headache,negative
e safe,positive
*hugs back*,positive
welcome to dk  #jaoo,positive
wish,positive
Happy mother`s day to all the mums out there,positive
good job me,positive
passed,positive
"i dislike math, but math HATES me",negative
y best,positive
good,positive
gloomy,negative
hurt,negative
this is a very pretty picture,positive
successful,positive
but i cant,negative
I`m sorry you won`t make it.,negative
Thank you!,positive
That`s icky,negative
defective,negative
wishing I got fij,positive
Happy,positive
its probable bed time. hugs and kisses  <33,positive
many thanx guys,positive
Whoooooo! Spcn 2009!  ready to cheer for !,positive
****.,negative
hey ive seen the musical live its funny lol,positive
can`t believe it!,negative
thanks,positive
missing,negative
Goooosh!,positive
"sweetie,",positive
great night,positive
sooooo tired..,negative
sucks..,negative
CRYING,negative
hard..,negative
better,positive
Hella wow,positive
Today is not going to be relaxing like I hoped.,negative
Stupid,negative
good,positive
arent working fo,negative
